b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
0.993048659,0.000993049,0.000496524,0.000993049,0.000993049,0.000496524,0.000993049,0.000496524,0.000496524,0.000993049
0.000495786,0.000991572,0.991571641,0.000991572,0.000991572,0.000991572,0.000991572,0.000991572,0.000991572,0.000991572
0.00049505,0.004950495,0.00049505,0.99009901,0.00049505,0.000990099,0.00049505,0.00049505,0.00049505,0.000990099
0.00049505,0.004950495,0.000990099,0.99009901,0.00049505,0.000990099,0.00049505,0.00049505,0.00049505,0.00049505
0.004950495,0.99009901,0.00049505,0.00049505,0.000990099,0.00049505,0.00049505,0.00049505,0.000990099,0.00049505
0.000494805,0.004948046,0.000494805,0.000494805,0.989609104,0.000989609,0.000989609,0.000494805,0.000494805,0.000989609
0.004948046,0.000494805,0.989609104,0.000989609,0.000989609,0.000989609,0.000494805,0.000494805,0.000494805,0.000494805
0.000494805,0.000989609,0.000989609,0.000494805,0.000494805,0.000494805,0.004948046,0.000494805,0.000989609,0.989609104
0.000494805,0.000494805,0.000494805,0.000989609,0.000989609,0.000989609,0.989609104,0.000494805,0.000494805,0.004948046
0.000494805,0.000494805,0.000494805,0.000989609,0.000989609,0.000989609,0.000494805,0.000494805,0.989609104,0.004948046
0.004945598,0.00049456,0.00049456,0.00098912,0.00049456,0.00098912,0.00098912,0.00098912,0.989119683,0.00049456
0.00098912,0.00098912,0.00098912,0.00098912,0.00049456,0.00049456,0.00049456,0.00049456,0.989119683,0.004945598
0.00098912,0.989119683,0.00049456,0.00049456,0.00098912,0.004945598,0.00049456,0.00098912,0.00098912,0.00049456
0.00098912,0.00098912,0.00049456,0.00049456,0.00098912,0.004945598,0.00098912,0.989119683,0.00049456,0.00049456
0.00049456,0.00098912,0.00049456,0.00049456,0.00098912,0.989119683,0.004945598,0.00049456,0.00098912,0.00098912
0.000988631,0.004943154,0.000494315,0.000988631,0.000988631,0.000988631,0.000494315,0.988630746,0.000988631,0.000494315
0.000988142,0.001976285,0.001976285,0.000988142,0.988142292,0.000988142,0.000988142,0.000988142,0.000988142,0.001976285
0.000981354,0.000981354,0.000981354,0.981354269,0.000981354,0.000981354,0.000981354,0.000981354,0.001962709,0.009813543
0.000979432,0.001958864,0.000979432,0.979431929,0.001958864,0.000979432,0.000979432,0.009794319,0.000979432,0.001958864
0.000979432,0.001958864,0.000979432,0.000979432,0.001958864,0.000979432,0.001958864,0.009794319,0.979431929,0.000979432
0.979431929,0.000979432,0.001958864,0.000979432,0.001958864,0.000979432,0.000979432,0.001958864,0.000979432,0.009794319
0.001958864,0.000979432,0.000979432,0.001958864,0.000979432,0.001958864,0.000979432,0.979431929,0.009794319,0.000979432
0.000978474,0.001956947,0.001956947,0.001956947,0.009784736,0.000978474,0.001956947,0.000978474,0.000978474,0.978473581
0.000978474,0.001956947,0.009784736,0.978473581,0.001956947,0.000978474,0.001956947,0.000978474,0.001956947,0.000978474
0.004739336,0.004739336,0.009478673,0.009478673,0.947867299,0.004739336,0.004739336,0.004739336,0.004739336,0.004739336
0.009345794,0.004672897,0.004672897,0.004672897,0.009345794,0.009345794,0.004672897,0.009345794,0.934579439,0.009345794
0.930232558,0.009302326,0.009302326,0.009302326,0.009302326,0.009302326,0.004651163,0.004651163,0.009302326,0.004651163
0.009302326,0.009302326,0.004651163,0.009302326,0.009302326,0.930232558,0.004651163,0.009302326,0.009302326,0.004651163
0.00456621,0.00456621,0.0456621,0.00456621,0.00456621,0.00456621,0.00913242,0.00456621,0.913242009,0.00456621
0.00456621,0.0456621,0.00456621,0.913242009,0.00456621,0.00913242,0.00456621,0.00456621,0.00456621,0.00456621
0.004545455,0.909090909,0.004545455,0.045454545,0.009090909,0.004545455,0.009090909,0.004545455,0.004545455,0.004545455
0.004545455,0.004545455,0.045454545,0.009090909,0.004545455,0.909090909,0.004545455,0.009090909,0.004545455,0.004545455
0.045454545,0.909090909,0.009090909,0.004545455,0.004545455,0.009090909,0.004545455,0.004545455,0.004545455,0.004545455
0.009049774,0.904977376,0.004524887,0.004524887,0.004524887,0.004524887,0.009049774,0.009049774,0.045248869,0.004524887
0.009049774,0.004524887,0.004524887,0.009049774,0.004524887,0.904977376,0.009049774,0.004524887,0.004524887,0.045248869
0.045248869,0.009049774,0.009049774,0.004524887,0.004524887,0.004524887,0.904977376,0.009049774,0.004524887,0.004524887
0.045248869,0.004524887,0.009049774,0.904977376,0.004524887,0.009049774,0.004524887,0.004524887,0.004524887,0.009049774
0.004524887,0.009049774,0.009049774,0.004524887,0.904977376,0.009049774,0.004524887,0.004524887,0.004524887,0.045248869
0.900900901,0.004504505,0.004504505,0.009009009,0.009009009,0.004504505,0.009009009,0.004504505,0.045045045,0.009009009
0.004504505,0.045045045,0.004504505,0.004504505,0.009009009,0.004504505,0.900900901,0.009009009,0.009009009,0.009009009
0.00643915,0.0128783,0.0643915,0.00643915,0.00643915,0.128783001,0.00128783,0.128783001,0.000643915,0.643915003
0.000664011,0.000664011,0.066401062,0.066401062,0.066401062,0.066401062,0.001328021,0.664010624,0.001328021,0.066401062
0.117233294,0.117233294,0.000586166,0.117233294,0.058616647,0.000586166,0.000586166,0.001172333,0.000586166,0.586166471
0.000839278,0.008392782,0.000419639,0.41963911,0.041963911,0.41963911,0.008392782,0.008392782,0.083927822,0.008392782
0.131839156,0.065919578,0.001318392,0.001318392,0.065919578,0.006591958,0.065919578,0.001318392,0.000659196,0.659195781
0.438212095,0.004382121,0.043821209,0.008764242,0.004382121,0.043821209,0.438212095,0.008764242,0.008764242,0.000876424
0.428082192,0.008561644,0.042808219,0.000856164,0.085616438,0.004280822,0.000856164,0.000428082,0.000428082,0.428082192
0.008900757,0.008900757,0.000445038,0.000445038,0.089007566,0.000890076,0.445037828,0.000445038,0.445037828,0.000890076
0.001356852,0.001356852,0.013568521,0.006784261,0.13568521,0.067842605,0.013568521,0.013568521,0.678426052,0.067842605
0.000691563,0.069156293,0.691562932,0.013831259,0.138312586,0.069156293,0.013831259,0.001383126,0.001383126,0.000691563
0.001278772,0.127877238,0.001278772,0.012787724,0.006393862,0.127877238,0.639386189,0.012787724,0.006393862,0.063938619
0.001384083,0.138408304,0.692041522,0.001384083,0.006920415,0.069204152,0.069204152,0.01384083,0.000692042,0.006920415
0.006734007,0.067340067,0.673400673,0.067340067,0.067340067,0.006734007,0.006734007,0.033670034,0.003367003,0.067340067
0.002941176,0.029411765,0.294117647,0.058823529,0.588235294,0.005882353,0.005882353,0.005882353,0.005882353,0.002941176
0.005747126,0.002873563,0.005747126,0.287356322,0.002873563,0.028735632,0.574712644,0.028735632,0.057471264,0.005747126
0.002808989,0.002808989,0.280898876,0.028089888,0.005617978,0.028089888,0.005617978,0.056179775,0.561797753,0.028089888
0.003838772,0.003838772,0.003838772,0.003838772,0.383877159,0.19193858,0.383877159,0.019193858,0.003838772,0.001919386
0.005714286,0.057142857,0.057142857,0.005714286,0.285714286,0.002857143,0.571428571,0.005714286,0.002857143,0.005714286
0.005899705,0.589970501,0.002949853,0.002949853,0.05899705,0.005899705,0.294985251,0.005899705,0.002949853,0.029498525
0.027855153,0.055710306,0.005571031,0.055710306,0.557103064,0.278551532,0.005571031,0.005571031,0.005571031,0.002785515
0.041666667,0.041666667,0.083333333,0.083333333,0.041666667,0.083333333,0.083333333,0.416666667,0.083333333,0.041666667
0.083333333,0.041666667,0.041666667,0.083333333,0.041666667,0.041666667,0.083333333,0.083333333,0.083333333,0.416666667
0.008264463,0.41322314,0.082644628,0.082644628,0.082644628,0.082644628,0.082644628,0.041322314,0.082644628,0.041322314
0.082644628,0.082644628,0.041322314,0.41322314,0.082644628,0.041322314,0.082644628,0.008264463,0.082644628,0.082644628
0.086956522,0.043478261,0.043478261,0.086956522,0.043478261,0.043478261,0.434782609,0.086956522,0.086956522,0.043478261
0.081967213,0.081967213,0.081967213,0.081967213,0.008196721,0.409836066,0.081967213,0.081967213,0.008196721,0.081967213
0.083298626,0.041649313,0.041649313,0.083298626,0.083298626,0.000416493,0.083298626,0.416493128,0.083298626,0.083298626
0.041649313,0.416493128,0.083298626,0.083298626,0.083298626,0.041649313,0.083298626,0.083298626,0.000416493,0.083298626
0.083298626,0.416493128,0.083298626,0.041649313,0.000416493,0.083298626,0.083298626,0.041649313,0.083298626,0.083298626
0.00862069,0.043103448,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.043103448,0.431034483,0.043103448
0.086206897,0.086206897,0.086206897,0.086206897,0.431034483,0.086206897,0.00862069,0.043103448,0.043103448,0.043103448
0.086206897,0.043103448,0.086206897,0.00862069,0.086206897,0.431034483,0.086206897,0.043103448,0.086206897,0.043103448
0.431034483,0.086206897,0.043103448,0.086206897,0.043103448,0.043103448,0.00862069,0.086206897,0.086206897,0.086206897
0.043103448,0.043103448,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.043103448,0.431034483,0.00862069
0.00862069,0.086206897,0.086206897,0.043103448,0.086206897,0.086206897,0.043103448,0.043103448,0.086206897,0.431034483
0.082304527,0.411522634,0.082304527,0.082304527,0.008230453,0.082304527,0.082304527,0.082304527,0.004115226,0.082304527
0.105263158,0.105263158,0.105263158,0.052631579,0.105263158,0.105263158,0.105263158,0.105263158,0.105263158,0.105263158
0.12345679,0.12345679,0.061728395,0.12345679,0.12345679,0.12345679,0.12345679,0.12345679,0.061728395,0.012345679
0.061728395,0.12345679,0.12345679,0.12345679,0.12345679,0.061728395,0.12345679,0.12345679,0.12345679,0.012345679
0.089285714,0.178571429,0.089285714,0.089285714,0.178571429,0.089285714,0.089285714,0.089285714,0.089285714,0.017857143
0.081967213,0.081967213,0.163934426,0.081967213,0.016393443,0.163934426,0.081967213,0.163934426,0.081967213,0.081967213
0.163934426,0.163934426,0.081967213,0.081967213,0.081967213,0.016393443,0.081967213,0.081967213,0.163934426,0.081967213
0.117577895,0.117577895,0.117577895,0.117577895,0.000587889,0.117577895,0.117577895,0.117577895,0.058788948,0.117577895
0.015151515,0.075757576,0.151515152,0.075757576,0.075757576,0.151515152,0.075757576,0.075757576,0.151515152,0.151515152
0.133333333,0.066666667,0.133333333,0.066666667,0.066666667,0.133333333,0.133333333,0.133333333,0.066666667,0.066666667
0.061728395,0.12345679,0.12345679,0.12345679,0.12345679,0.12345679,0.12345679,0.12345679,0.012345679,0.061728395
0.131578947,0.131578947,0.131578947,0.131578947,0.065789474,0.013157895,0.065789474,0.131578947,0.131578947,0.065789474
0.14084507,0.14084507,0.14084507,0.014084507,0.14084507,0.14084507,0.070422535,0.070422535,0.070422535,0.070422535
0.014084507,0.14084507,0.070422535,0.14084507,0.070422535,0.070422535,0.14084507,0.14084507,0.070422535,0.14084507
0.075757576,0.075757576,0.151515152,0.151515152,0.075757576,0.151515152,0.015151515,0.151515152,0.075757576,0.075757576
0.107526882,0.107526882,0.107526882,0.107526882,0.010752688,0.107526882,0.107526882,0.021505376,0.215053763,0.107526882
0.107526882,0.107526882,0.107526882,0.021505376,0.107526882,0.107526882,0.107526882,0.010752688,0.215053763,0.107526882
0.096153846,0.192307692,0.096153846,0.096153846,0.019230769,0.096153846,0.096153846,0.192307692,0.096153846,0.019230769
0.096153846,0.019230769,0.019230769,0.096153846,0.096153846,0.096153846,0.192307692,0.096153846,0.192307692,0.096153846
0.096153846,0.096153846,0.019230769,0.019230769,0.192307692,0.096153846,0.192307692,0.096153846,0.096153846,0.096153846
0.069444444,0.069444444,0.138888889,0.138888889,0.013888889,0.138888889,0.138888889,0.138888889,0.013888889,0.138888889
0.014925373,0.074626866,0.149253731,0.074626866,0.149253731,0.149253731,0.074626866,0.149253731,0.149253731,0.014925373
0.014925373,0.149253731,0.014925373,0.149253731,0.074626866,0.149253731,0.149253731,0.074626866,0.149253731,0.074626866
0.080645161,0.080645161,0.016129032,0.161290323,0.161290323,0.080645161,0.016129032,0.161290323,0.080645161,0.161290323
0.080645161,0.016129032,0.161290323,0.080645161,0.016129032,0.080645161,0.080645161,0.161290323,0.161290323,0.161290323
0.00643915,0.0128783,0.0643915,0.00643915,0.00643915,0.128783001,0.00128783,0.128783001,0.000643915,0.643915003
0.004559964,0.000911993,0.000455996,0.004559964,0.009119927,0.009119927,0.004559964,0.045599635,0.911992704,0.009119927
0.008561644,0.001712329,0.085616438,0.017123288,0.017123288,0.001712329,0.008561644,0.856164384,0.001712329,0.001712329
0.09469697,0.09469697,0.000473485,0.473484848,0.09469697,0.09469697,0.000473485,0.047348485,0.09469697,0.004734848
0.054525627,0.109051254,0.005452563,0.001090513,0.054525627,0.001090513,0.54525627,0.109051254,0.109051254,0.010905125
0.00159109,0.795544948,0.007955449,0.079554495,0.079554495,0.00159109,0.015910899,0.00159109,0.000795545,0.015910899
0.137457045,0.00137457,0.137457045,0.00137457,0.000687285,0.013745704,0.687285223,0.006872852,0.006872852,0.006872852
0.008140008,0.004070004,0.081400081,0.000814001,0.000814001,0.000407,0.008140008,0.814000814,0.081400081,0.000814001
0.070422535,0.070422535,0.352112676,0.003521127,0.035211268,0.007042254,0.003521127,0.070422535,0.035211268,0.352112676
0.003139717,0.001569859,0.313971743,0.313971743,0.003139717,0.001569859,0.313971743,0.031397174,0.001569859,0.015698587
0.001034126,0.005170631,0.517063082,0.001034126,0.103412616,0.103412616,0.103412616,0.010341262,0.051706308,0.103412616
0.00911577,0.000911577,0.004557885,0.045578851,0.911577028,0.00911577,0.000911577,0.004557885,0.004557885,0.00911577
0.163934426,0.081967213,0.081967213,0.163934426,0.081967213,0.163934426,0.163934426,0.081967213,0.008196721,0.008196721
0.009713453,0.000485673,0.971345313,0.000971345,0.000971345,0.009713453,0.000485673,0.004856727,0.000485673,0.000971345
0.00132714,0.132714001,0.066357001,0.00066357,0.00066357,0.00066357,0.00066357,0.663570007,0.132714001,0.00066357
0.001216545,0.001216545,0.060827251,0.060827251,0.121654501,0.01216545,0.608272506,0.121654501,0.006082725,0.006082725
0.006734007,0.067340067,0.673400673,0.067340067,0.067340067,0.006734007,0.006734007,0.033670034,0.003367003,0.067340067
0.000922935,0.009229349,0.000461467,0.004614675,0.000922935,0.000922935,0.046146747,0.922934933,0.004614675,0.009229349
0.096061479,0.096061479,0.192122959,0.192122959,0.192122959,0.096061479,0.096061479,0.000960615,0.019212296,0.019212296
0.002941176,0.029411765,0.294117647,0.058823529,0.588235294,0.005882353,0.005882353,0.005882353,0.005882353,0.002941176
0.008525149,0.085251492,0.000852515,0.017050298,0.00170503,0.008525149,0.008525149,0.008525149,0.008525149,0.852514919
0.001545595,0.015455951,0.000772798,0.000772798,0.772797527,0.007727975,0.015455951,0.154559505,0.015455951,0.015455951
0.005747126,0.002873563,0.005747126,0.287356322,0.002873563,0.028735632,0.574712644,0.028735632,0.057471264,0.005747126
0.014084507,0.281690141,0.028169014,0.028169014,0.281690141,0.028169014,0.281690141,0.014084507,0.028169014,0.014084507
0.081732734,0.000408664,0.000408664,0.008173273,0.81732734,0.000817327,0.000817327,0.000408664,0.008173273,0.081732734
0.018050542,0.001805054,0.036101083,0.180505415,0.001805054,0.36101083,0.036101083,0.003610108,0.180505415,0.180505415
0.000820681,0.820681165,0.082068117,0.004103406,0.000820681,0.004103406,0.000410341,0.004103406,0.082068117,0.000820681
0.004484305,0.002242152,0.004484305,0.022421525,0.448430493,0.224215247,0.002242152,0.224215247,0.044843049,0.022421525
0.014461316,0.14461316,0.014461316,0.000723066,0.014461316,0.014461316,0.000723066,0.07230658,0.723065799,0.000723066
0.000445236,0.044523598,0.000890472,0.044523598,0.89047195,0.00445236,0.00445236,0.000890472,0.00890472,0.000445236
0.0042123,0.00084246,0.042122999,0.0042123,0.0084246,0.00084246,0.084245998,0.0042123,0.842459983,0.0084246
0.297619048,0.297619048,0.029761905,0.014880952,0.029761905,0.001488095,0.148809524,0.001488095,0.029761905,0.148809524
0.000958313,0.000479157,0.000958313,0.004791567,0.000958313,0.004791567,0.958313368,0.009583134,0.009583134,0.009583134
0.001356852,0.001356852,0.013568521,0.006784261,0.13568521,0.067842605,0.013568521,0.013568521,0.678426052,0.067842605
0.000464037,0.009280742,0.000928074,0.464037123,0.009280742,0.000464037,0.046403712,0.000464037,0.004640371,0.464037123
0.004750594,0.004750594,0.004750594,0.237529691,0.002375297,0.023752969,0.237529691,0.004750594,0.004750594,0.475059382
0.002717391,0.135869565,0.027173913,0.002717391,0.013586957,0.002717391,0.27173913,0.27173913,0.135869565,0.135869565
0.856164384,0.004280822,0.042808219,0.042808219,0.000856164,0.004280822,0.004280822,0.000856164,0.042808219,0.000856164
0.000664011,0.000664011,0.066401062,0.066401062,0.066401062,0.066401062,0.001328021,0.664010624,0.001328021,0.066401062
0.820681165,0.000820681,0.082068117,0.000410341,0.041034058,0.000820681,0.000820681,0.004103406,0.008206812,0.041034058
0.029282577,0.029282577,0.002928258,0.146412884,0.292825769,0.292825769,0.029282577,0.146412884,0.029282577,0.001464129
0.117233294,0.117233294,0.000586166,0.117233294,0.058616647,0.000586166,0.000586166,0.001172333,0.000586166,0.586166471
0.004659832,0.931966449,0.009319664,0.000465983,0.000465983,0.046598322,0.004659832,0.000465983,0.000931966,0.000465983
0.029325513,0.014662757,0.029325513,0.014662757,0.293255132,0.293255132,0.293255132,0.014662757,0.014662757,0.002932551
0.000691563,0.069156293,0.691562932,0.013831259,0.138312586,0.069156293,0.013831259,0.001383126,0.001383126,0.000691563
0.084889643,0.008488964,0.848896435,0.016977929,0.001697793,0.001697793,0.001697793,0.001697793,0.016977929,0.016977929
0.008045052,0.804505229,0.000804505,0.080450523,0.008045052,0.008045052,0.000804505,0.008045052,0.080450523,0.000804505
0.088967972,0.00044484,0.00044484,0.00088968,0.00088968,0.008896797,0.00088968,0.889679715,0.004448399,0.004448399
0.000839278,0.008392782,0.000419639,0.41963911,0.041963911,0.41963911,0.008392782,0.008392782,0.083927822,0.008392782
0.008019246,0.000801925,0.000801925,0.008019246,0.801924619,0.080192462,0.008019246,0.080192462,0.004009623,0.008019246
0.006830601,0.013661202,0.136612022,0.006830601,0.683060109,0.006830601,0.00136612,0.136612022,0.006830601,0.00136612
0.00075815,0.00075815,0.151630023,0.0015163,0.007581501,0.00075815,0.075815011,0.0015163,0.758150114,0.0015163
0.791765637,0.000791766,0.000791766,0.000791766,0.007917656,0.007917656,0.015835313,0.079176564,0.079176564,0.015835313
0.060606061,0.303030303,0.006060606,0.003030303,0.303030303,0.006060606,0.003030303,0.006060606,0.006060606,0.303030303
0.214822771,0.214822771,0.107411386,0.010741139,0.010741139,0.001074114,0.214822771,0.010741139,0.107411386,0.107411386
0.001278772,0.127877238,0.001278772,0.012787724,0.006393862,0.127877238,0.639386189,0.012787724,0.006393862,0.063938619
0.494071146,0.049407115,0.009881423,0.049407115,0.000988142,0.098814229,0.098814229,0.098814229,0.098814229,0.000988142
0.365630713,0.003656307,0.365630713,0.036563071,0.001828154,0.182815356,0.001828154,0.003656307,0.001828154,0.036563071
0.013605442,0.027210884,0.002721088,0.272108844,0.272108844,0.136054422,0.136054422,0.001360544,0.136054422,0.002721088
0.131839156,0.065919578,0.001318392,0.001318392,0.065919578,0.006591958,0.065919578,0.001318392,0.000659196,0.659195781
0.609013398,0.000609013,0.12180268,0.006090134,0.06090134,0.006090134,0.012180268,0.06090134,0.000609013,0.12180268
0.438212095,0.004382121,0.043821209,0.008764242,0.004382121,0.043821209,0.438212095,0.008764242,0.008764242,0.000876424
0.060569352,0.121138704,0.006056935,0.060569352,0.01211387,0.006056935,0.121138704,0.006056935,0.605693519,0.000605694
0.428082192,0.008561644,0.042808219,0.000856164,0.085616438,0.004280822,0.000856164,0.000428082,0.000428082,0.428082192
0.006127451,0.06127451,0.006127451,0.12254902,0.06127451,0.00122549,0.06127451,0.06127451,0.612745098,0.006127451
0.008900757,0.008900757,0.000445038,0.000445038,0.089007566,0.000890076,0.445037828,0.000445038,0.445037828,0.000890076
0.856898029,0.000856898,0.001713796,0.000856898,0.017137961,0.017137961,0.017137961,0.001713796,0.085689803,0.000856898
0.029761905,0.00297619,0.005952381,0.297619048,0.297619048,0.00297619,0.029761905,0.297619048,0.029761905,0.005952381
0.004198153,0.419815281,0.008396306,0.008396306,0.041981528,0.083963056,0.000839631,0.008396306,0.004198153,0.419815281
0.059701493,0.298507463,0.002985075,0.002985075,0.002985075,0.002985075,0.002985075,0.029850746,0.298507463,0.298507463
0.000747384,0.007473842,0.000747384,0.149476831,0.747384155,0.001494768,0.001494768,0.001494768,0.014947683,0.074738416
0.001468429,0.293685756,0.293685756,0.029368576,0.029368576,0.014684288,0.029368576,0.146842878,0.146842878,0.014684288
0.348432056,0.348432056,0.174216028,0.017421603,0.003484321,0.034843206,0.003484321,0.034843206,0.017421603,0.017421603
0.002808989,0.002808989,0.280898876,0.028089888,0.005617978,0.028089888,0.005617978,0.056179775,0.561797753,0.028089888
0.001384083,0.138408304,0.692041522,0.001384083,0.006920415,0.069204152,0.069204152,0.01384083,0.000692042,0.006920415
0.31496063,0.31496063,0.015748031,0.003149606,0.031496063,0.001574803,0.157480315,0.001574803,0.157480315,0.001574803
0.104058273,0.104058273,0.520291363,0.052029136,0.005202914,0.104058273,0.104058273,0.005202914,0.000520291,0.000520291
0.001419446,0.709723208,0.000709723,0.000709723,0.141944642,0.000709723,0.001419446,0.141944642,0.000709723,0.000709723
0.001128668,0.112866817,0.056433409,0.005643341,0.011286682,0.011286682,0.112866817,0.011286682,0.112866817,0.564334086
0.000790514,0.790513834,0.015810277,0.000790514,0.007905138,0.158102767,0.007905138,0.015810277,0.000790514,0.001581028
0.023980815,0.119904077,0.119904077,0.239808153,0.011990408,0.002398082,0.239808153,0.119904077,0.002398082,0.119904077
0.000465549,0.000931099,0.009310987,0.931098696,0.000465549,0.009310987,0.000931099,0.000465549,0.000465549,0.046554935
0.000992556,0.000992556,0.000496278,0.004962779,0.099255583,0.496277916,0.099255583,0.099255583,0.099255583,0.099255583
0.006548788,0.130975769,0.065487885,0.006548788,0.000654879,0.001309758,0.130975769,0.654878847,0.001309758,0.001309758
0.040899796,0.000817996,0.00408998,0.081799591,0.008179959,0.000817996,0.000408998,0.00408998,0.040899796,0.81799591
0.044052863,0.022026432,0.220264317,0.004405286,0.022026432,0.440528634,0.220264317,0.022026432,0.002202643,0.002202643
0.016064257,0.000803213,0.000803213,0.001606426,0.080321285,0.000803213,0.080321285,0.008032129,0.008032129,0.803212851
0.000796813,0.001593625,0.000796813,0.015936255,0.000796813,0.079681275,0.079681275,0.796812749,0.007968127,0.015936255
0.00065445,0.654450262,0.00065445,0.130890052,0.130890052,0.065445026,0.001308901,0.001308901,0.001308901,0.013089005
0.00096432,0.004821601,0.00048216,0.009643202,0.482160077,0.482160077,0.004821601,0.009643202,0.00048216,0.004821601
0.119688809,0.011968881,0.00598444,0.598444045,0.011968881,0.000598444,0.119688809,0.00598444,0.00598444,0.119688809
0.15503876,0.031007752,0.003100775,0.15503876,0.001550388,0.003100775,0.15503876,0.15503876,0.310077519,0.031007752
0.011600928,0.05800464,0.116009281,0.580046404,0.116009281,0.000580046,0.000580046,0.000580046,0.116009281,0.000580046
0.136612022,0.013661202,0.013661202,0.006830601,0.136612022,0.00068306,0.00068306,0.00136612,0.683060109,0.006830601
