"n","Reaction","NAME.EQ"
"1","Peptidoglycan subunit synthesis","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala + Peptidoglycan polymer (n-1 subunits) => Undecaprenyldiphosphate + Peptidoglycan polymer (n subunits)"
"2","di-trans,poly-cis-Decaprenyl-diphosphate:isopentenyl-diphosphate","7 Isopentenyldiphosphate + trans,trans,cis-Geranylgeranyl diphosphate <=> 7 PPi + Undecaprenyldiphosphate"
"3","UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","UDP-N-acetylglucosamine + Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine <=> UDP + Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"4","UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-","Undecaprenylphosphate + UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala) <=> UMP + MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho- undecaprenol"
"5","UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-","Undecaprenylphosphate + UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl- D-alanine <=> UMP + Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
"6","Undecaprenyl-diphosphate phosphohydrolase","H2O + Undecaprenyldiphosphate <=> Phosphate + H+ + Undecaprenylphosphate"
"7","adenosylcobyric acid synthase (glutamine-hydrolysing)","4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide <=> 4 ADP + 4 Phosphate + 4 GLU + 4 H+ + Adenosylcobyric acid"
"8","UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","UDP-N-acetylglucosamine + MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho- undecaprenol <=> UDP + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine"
"9","Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-","ATP + NH3 + Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala <=> ADP + Phosphate + H+ + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
"10","UDP-2,3-bis(3-hydroxytetradecanoyl)-beta-D-glucosamine:2,3-bis-(3-","UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine + Lipid X <=> UDP + Lipid A disaccharide"
"11","3-methylbutanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)","H+ + Malonyl-acyl-carrierprotein- + isovaleryl-ACP <=> CO2 + ACP + 5-methyl-3-oxo-hexanoyl-ACP"
"12","Uroporphyrinogen I carboxy-lyase","4 H+ + UroporphyrinogenI <=> 4 CO2 + CoproporphyrinogenI"
"13","2-methylpropionyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)","H+ + Malonyl-acyl-carrierprotein- + isobutyryl-ACP <=> CO2 + ACP + 4-methyl-3-oxo-pentanoyl-ACP"
"14","4-methyl-3-oxo-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)","H+ + Malonyl-acyl-carrierprotein- + 2-methylbutyryl-ACP <=> CO2 + ACP + 4-methyl-3-oxo-hexanoyl-ACP"
"15","Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein]","H+ + Malonyl-acyl-carrierprotein- + Acetyl-ACP <=> CO2 + Acetoacetyl-ACP + ACP"
