,Aeromonas hydrophila subsp. hydrophila ATCC 7966,Agrobacterium tumefaciens str. C58,Bacillus sp. B14905,Burkholderia cepacia R18194,Delftia acidovorans SPH-1,Enterococcus faecalis T3,Paracoccus denitrificans PD1222,Pseudomonas aeruginosa C3719,Rhizobium sp. NGR234,Serratia proteamaculans 568
Aeromonas hydrophila subsp. hydrophila ATCC 7966,1.0,0.14285714285714285,0.14285714285714285,0.21875,0.3333333333333333,0.25,0.15384615384615385,0.2,0.2857142857142857,0.2962962962962963
Agrobacterium tumefaciens str. C58,0.14285714285714285,1.0,0.12,0.2962962962962963,0.3333333333333333,0.10714285714285714,0.3,0.15254237288135594,0.2777777777777778,0.2916666666666667
Bacillus sp. B14905,0.14285714285714285,0.12,1.0,0.25316455696202533,0.13513513513513514,0.1875,0.18421052631578946,0.5,0.17567567567567569,0.28378378378378377
Burkholderia cepacia R18194,0.21875,0.2962962962962963,0.25316455696202533,1.0,0.34615384615384615,0.21052631578947367,0.20588235294117646,0.27692307692307694,0.26666666666666666,0.4375
Delftia acidovorans SPH-1,0.3333333333333333,0.3333333333333333,0.13513513513513514,0.34615384615384615,1.0,0.34782608695652173,0.3,0.1724137931034483,0.5333333333333333,0.4090909090909091
Enterococcus faecalis T3,0.25,0.10714285714285714,0.1875,0.21052631578947367,0.34782608695652173,1.0,0.1935483870967742,0.16176470588235295,0.25925925925925924,0.3125
Paracoccus denitrificans PD1222,0.15384615384615385,0.3,0.18421052631578946,0.20588235294117646,0.3,0.1935483870967742,1.0,0.1935483870967742,0.3181818181818182,0.32142857142857145
Pseudomonas aeruginosa C3719,0.2,0.15254237288135594,0.5,0.27692307692307694,0.1724137931034483,0.16176470588235295,0.1935483870967742,1.0,0.18333333333333332,0.31666666666666665
Rhizobium sp. NGR234,0.2857142857142857,0.2777777777777778,0.17567567567567569,0.26666666666666666,0.5333333333333333,0.25925925925925924,0.3181818181818182,0.18333333333333332,1.0,0.36
Serratia proteamaculans 568,0.2962962962962963,0.2916666666666667,0.28378378378378377,0.4375,0.4090909090909091,0.3125,0.32142857142857145,0.31666666666666665,0.36,1.0
