key,count
Bacillus,4
bryantii,2
mucosa,5
longum,17
breve,25
acidophilus,6
beijerinckii,1
Enterococcus,16
Mollicutes,1
Ruminococcus,4
catenulatum,1
coli,34
smithii,3
faecium,1
thermophilus,1
Eubacterium,5
japonicum,1
pestis,1
albus,1
faecalis,47
pyogenes,2
Erysipelotrichaceae,1
Peptostreptococcus,1
Bifidobacterium,58
bacterium,8
reuteri,1
Clostridium,17
prausnitzii,3
testosteroni,1
Methanobrevibacter,4
Helicobacter,3
ruminantium,5
comes,1
difficile,2
Porphyromonas,3
Selenomonas,4
Pseudomonas,1
meliloti,1
ruminicola,3
Bacteroides,27
bovis,1
Escherichia,14
lactis,6
subtilis,3
perfringens,27
angulatum,1
unidentified,2
pylori,2
Prevotella,7
Rhizobium,2
salivarius,1
Streptococcus,4
thetaiotaomicron,27
minor,1
flavefaciens,2
Propionibacterium,9
Yersinia,1
plantarum,3
Fibrobacter,1
fragilis,3
gallicum,1
ovatus,3
Roseburia,16
Faecalibacterium,4
Veillonella,2
xylanisolvens,1
Lactobacillus,38
vulgatus,1
Lactococcus,3
bifidum,5
aeruginosa,1
Bacteroidetes,9
succinogenes,3
inulinivorans,2
brevis,14
eggerthii,1
crispatus,2
rhamnosus,7
Megasphaera,5
adolescentis,9
Comamonas,1
Micrococcus,3
oral,2
paracasei,9
johnsonii,1
